driver_id,gender,age,education_level,city,joining_date,joining_designation
324,0,30,1,C26,2020-03-07,3
325,0,26,2,C15,2018-11-30,1
326,0,24,2,C28,2020-04-21,2
327,0,38,1,C3,2018-05-29,1
328,1,35,1,C28,2018-11-12,3
329,1,42,1,C11,2015-07-19,1
330,1,39,1,C15,2018-09-24,1
331,0,35,2,C25,2020-09-27,3
332,0,29,2,C24,2019-03-02,1
333,1,44,1,C6,2018-09-19,1
334,1,29,0,C9,2019-07-01,2
335,1,41,2,C11,2020-11-17,3
336,0,45,2,C10,2018-10-02,2
337,1,45,2,C8,2018-09-15,2
339,0,31,1,C17,2019-06-13,3
340,0,35,0,C16,2018-08-08,1
341,0,39,1,C11,2019-12-24,2
342,0,44,2,C18,2018-09-07,3
343,0,23,1,C4,2020-01-16,1
344,0,28,1,C2,2020-02-02,3
345,1,35,1,C27,2020-07-31,2
346,1,30,1,C2,2019-02-12,3
347,1,36,0,C15,2018-05-01,2
348,1,28,1,C13,2020-01-09,2
349,0,33,2,C26,2019-05-27,2
350,0,33,2,C10,2018-03-12,2
351,0,30,1,C9,2019-10-12,2
352,0,43,0,C24,2019-02-24,1
353,1,29,2,C18,2018-07-15,1
354,1,31,0,C11,2018-11-30,1
355,0,34,2,C22,2018-06-16,3
357,0,34,0,C2,2020-08-03,4
358,1,39,2,C26,2019-10-29,3
359,0,36,2,C4,2019-06-20,2
360,1,39,1,C20,2018-10-21,2
361,0,33,0,C21,2018-09-17,1
362,1,37,2,C20,2020-04-05,2
363,0,30,2,C21,2019-08-12,2
364,0,27,2,C13,2020-07-03,1
365,1,24,0,C22,2020-01-02,2
366,0,29,2,C15,2020-10-30,2
368,0,43,1,C23,2018-09-18,1
369,0,32,0,C20,2020-09-20,1
371,1,46,1,C20,2018-07-20,1
372,1,33,0,C26,2019-06-30,2
373,1,29,2,C23,2019-01-11,1
375,0,35,0,C27,2020-07-04,3
376,0,37,2,C5,2020-07-08,2
377,0,33,0,C5,2015-11-10,1
378,0,33,2,C9,2020-12-13,3
379,0,30,2,C13,2018-05-22,1
382,0,28,0,C18,2020-10-18,1
383,1,40,0,C17,2018-09-17,1
384,1,25,1,C27,2018-10-21,2
385,1,34,2,C28,2020-09-28,3
386,1,45,1,C18,2015-06-02,2
387,1,29,2,C22,2016-11-25,1
388,0,33,1,C15,2019-05-12,2
389,1,30,2,C15,2019-05-23,2
390,1,32,2,C22,2018-10-29,1
391,0,35,1,C22,2016-01-14,1
392,1,34,1,C20,2020-01-30,3
394,1,32,2,C20,2014-06-06,2
397,0,27,2,C12,2019-02-06,2
398,0,30,2,C5,2020-07-12,2
399,0,30,2,C5,2018-10-17,1
400,0,34,0,C19,2019-08-10,2
401,1,38,0,C23,2018-02-06,2
402,0,44,2,C24,2015-11-29,1
403,0,29,2,C15,2020-10-13,2
404,0,35,0,C1,2018-10-19,2
405,0,34,2,C14,2019-06-06,1
406,0,42,2,C12,2018-08-22,1
407,1,40,1,C13,2016-05-17,1
409,0,29,0,C1,2020-03-07,2
410,0,39,1,C24,2018-05-08,2
411,1,28,1,C1,2018-02-17,1
412,0,29,2,C16,2020-11-15,2
414,1,32,0,C25,2018-01-21,2
415,1,36,0,C13,2020-09-21,2
416,1,35,0,C27,2019-06-07,3
417,1,28,1,C23,2020-06-11,2
418,0,30,1,C15,2015-07-30,1
419,0,26,2,C13,2018-07-10,1
420,0,39,2,C18,2020-10-26,3
421,0,40,2,C4,2015-07-11,1
422,0,25,1,C27,2016-04-20,2
423,0,36,0,C20,2016-04-29,1
424,0,39,0,C17,2018-02-09,2
425,0,45,1,C22,2015-12-24,1
426,0,34,2,C24,2018-07-14,2
427,0,33,1,C10,2020-04-10,3
429,0,37,0,C8,2019-06-15,2
430,0,31,0,C28,2019-06-01,1
431,1,38,0,C18,2020-11-05,3
432,0,35,0,C14,2019-08-06,1
433,0,36,2,C13,2020-05-29,3
434,1,28,2,C6,2017-11-08,1
435,0,29,0,C22,2018-12-06,1
436,0,28,2,C24,2017-09-06,1
438,1,43,2,C9,2018-10-14,1
439,0,27,1,C3,2019-11-28,1
440,0,38,1,C16,2013-11-08,2
441,0,31,2,C6,2020-05-31,3
442,0,32,2,C23,2019-09-20,3
443,1,31,1,C3,2020-04-09,2
444,0,31,1,C15,2019-11-28,1
445,0,32,0,C8,2019-05-01,2
446,1,30,0,C22,2020-01-02,3
448,0,35,1,C10,2014-04-04,2
449,0,25,0,C11,2020-09-25,1
450,0,28,2,C20,2015-08-20,1
451,1,41,2,C16,2013-05-11,1
452,0,45,0,C19,2013-10-14,2
453,0,36,2,C12,2019-07-15,4
454,1,30,2,C17,2019-08-17,1
456,1,34,1,C26,2020-07-07,2
457,1,22,1,C5,2020-11-20,2
458,1,31,0,C19,2020-07-31,3
459,0,29,2,C12,2020-10-30,3
460,1,29,0,C15,2019-05-12,2
461,1,31,0,C8,2020-04-25,2
462,0,35,2,C16,2020-02-10,3
463,0,39,1,C24,2018-10-12,1
464,0,33,2,C27,2019-07-16,3
465,1,34,2,C8,2018-01-13,2
466,1,23,0,C23,2019-12-19,2
467,0,32,0,C29,2019-11-17,3
469,0,31,2,C13,2018-09-10,1
470,0,31,0,C1,2020-10-02,2
471,0,38,0,C12,2020-08-05,3
472,1,38,1,C23,2020-06-13,3
473,1,25,1,C16,2018-07-28,1
474,0,32,1,C10,2018-04-08,1
475,0,43,1,C11,2018-07-13,1
476,1,27,0,C16,2020-03-15,2
477,0,39,1,C19,2018-01-06,1
478,1,31,1,C20,2019-05-09,2
479,1,23,2,C20,2018-03-12,1
481,0,29,2,C12,2017-05-26,1
482,0,43,1,C10,2015-07-23,1
483,1,42,1,C16,2020-05-18,3
484,1,29,0,C4,2019-08-08,1
486,1,38,0,C10,2016-10-31,1
487,0,39,1,C12,2018-12-21,1
488,0,43,2,C28,2018-10-21,1
489,1,31,2,C12,2019-10-18,1
491,0,25,2,C2,2020-01-05,1
492,1,36,0,C19,2018-07-23,2
493,0,27,1,C9,2019-09-12,2
494,1,36,1,C16,2020-08-03,3
496,0,23,1,C15,2018-10-19,1
497,1,29,1,C16,2020-06-22,2
498,0,31,2,C20,2020-06-11,2
499,0,43,2,C3,2020-09-28,3
500,0,39,1,C12,2018-11-05,4
501,1,32,0,C16,2020-08-05,3
502,0,23,1,C5,2019-11-21,2
503,1,44,0,C21,2018-06-20,1
504,1,32,1,C15,2015-06-08,2
505,0,24,0,C26,2019-01-16,2
507,0,39,1,C6,2015-11-22,1
508,0,33,1,C21,2020-12-14,2
509,0,25,0,C8,2020-06-29,3
510,1,27,0,C29,2020-05-09,1
511,0,34,2,C21,2020-12-15,2
512,1,43,1,C8,2019-05-23,1
513,1,35,2,C20,2018-06-13,1
515,1,26,0,C29,2020-04-13,2
516,1,25,0,C29,2019-04-07,1
517,1,51,2,C1,2018-10-23,1
518,1,45,2,C15,2018-08-09,1
519,0,36,1,C29,2019-10-31,3
520,1,27,1,C23,2019-09-01,4
521,0,35,0,C27,2020-06-04,1
522,0,36,2,C26,2014-05-30,2
523,0,39,0,C9,2020-02-05,3
524,0,32,1,C17,2020-02-08,3
525,0,33,1,C22,2019-10-29,3
527,0,34,1,C23,2017-08-21,3
528,0,33,0,C10,2020-11-03,2
529,1,32,0,C9,2018-11-30,2
530,0,37,2,C28,2020-03-14,1
531,0,35,2,C8,2020-06-09,2
532,0,35,0,C26,2019-10-25,1
533,0,35,1,C1,2019-06-24,1
534,0,28,0,C10,2020-11-23,3
535,0,38,1,C27,2015-06-09,1
536,0,27,2,C26,2019-07-21,1
537,1,34,1,C29,2019-06-12,2
538,1,25,1,C23,2019-10-11,1
539,0,36,0,C24,2016-06-20,2
540,0,29,0,C14,2020-05-12,3
541,0,26,2,C1,2017-10-02,1
542,0,43,1,C8,2019-04-07,2
543,0,29,0,C12,2020-09-28,3
544,0,42,2,C14,2015-07-23,1
545,1,29,1,C26,2018-10-11,2
546,1,35,2,C14,2020-09-21,1
547,0,27,0,C19,2020-04-09,2
548,1,31,2,C20,2020-08-16,3
549,1,24,1,C2,2018-11-16,1
550,0,35,1,C27,2019-10-25,1
551,0,43,2,C13,2018-06-16,3
552,0,36,1,C13,2019-11-18,3
553,0,32,1,C12,2019-10-09,2
554,0,36,2,C24,2018-11-20,1
556,1,34,2,C8,2015-04-10,1
558,1,38,1,C11,2015-08-27,1
559,0,40,0,C27,2020-08-14,1
560,0,40,2,C19,2018-07-24,3
561,0,28,1,C6,2020-12-21,1
562,1,29,0,C6,2020-02-02,2
563,1,34,0,C20,2017-07-17,1
564,0,38,2,C1,2019-01-15,1
565,0,36,1,C28,2019-09-23,3
566,0,35,2,C10,2018-05-22,1
568,0,31,1,C16,2018-05-21,1
569,1,38,0,C26,2015-12-31,2
570,1,33,2,C19,2020-06-01,1
571,1,32,2,C3,2020-07-28,3
572,1,29,0,C2,2020-02-02,2
573,0,26,2,C28,2020-03-05,2
574,0,39,0,C13,2019-04-07,2
575,0,27,2,C25,2020-12-21,1
576,1,30,0,C22,2020-08-05,3
577,1,29,2,C14,2020-03-05,3
578,0,35,1,C29,2018-12-21,2
579,1,30,2,C5,2017-06-30,1
580,1,40,2,C18,2018-07-27,1
581,0,40,2,C25,2018-10-01,1
582,1,32,2,C10,2019-11-25,2
583,0,31,0,C11,2020-07-31,2
584,1,28,0,C1,2015-01-10,2
585,1,41,0,C4,2018-10-26,1
587,1,33,0,C20,2020-05-27,3
588,1,28,0,C13,2020-01-05,2
591,0,36,2,C7,2020-09-28,3
592,1,40,1,C20,2018-04-05,1
593,0,38,0,C23,2020-02-27,3
594,0,30,0,C19,2020-09-21,2
595,0,30,0,C26,2020-04-07,2
596,0,29,0,C12,2018-08-24,2
597,1,28,2,C23,2020-01-08,3
598,1,38,1,C9,2018-12-17,2
599,1,27,1,C3,2020-12-14,2
600,0,28,1,C2,2019-10-13,3
601,1,33,1,C19,2016-05-23,1
602,0,28,0,C9,2020-04-04,2
603,0,30,0,C15,2019-10-22,2
604,1,45,1,C26,2016-05-27,1
605,0,35,1,C10,2015-10-15,1
606,1,33,0,C10,2020-01-31,3
607,1,27,1,C27,2018-01-20,1
608,0,23,2,C26,2019-11-15,2
609,1,33,2,C9,2018-10-19,1
610,1,30,2,C23,2019-03-11,2
611,1,32,1,C10,2020-01-13,2
612,0,31,0,C17,2019-03-11,1
613,0,30,0,C1,2018-08-17,1
614,1,22,1,C10,2018-10-21,1
615,0,33,2,C23,2018-05-21,1
617,1,21,0,C18,2020-05-31,1
618,0,41,2,C6,2017-06-13,1
619,1,29,1,C14,2020-08-05,3
620,1,29,2,C8,2020-08-09,3
621,1,29,2,C4,2019-12-13,3
622,0,42,0,C22,2020-12-25,3
623,1,23,1,C29,2018-12-11,1
624,0,33,1,C15,2014-05-18,2
625,0,31,1,C12,2018-11-23,1
626,0,35,0,C24,2019-01-12,2
627,0,36,1,C17,2018-10-14,2
629,1,43,0,C15,2018-09-29,2
630,1,34,0,C28,2018-09-09,2
633,1,36,2,C3,2020-07-31,3
634,0,29,2,C28,2019-01-16,1
635,0,31,1,C28,2020-03-07,3
636,0,44,0,C20,2017-01-10,4
638,0,36,2,C16,2013-07-13,2
639,0,26,2,C12,2020-01-02,2
640,1,26,1,C8,2019-07-12,3
642,0,35,0,C11,2020-07-31,3
643,0,34,1,C26,2020-10-07,2
644,0,29,2,C6,2020-04-25,1
645,1,28,2,C8,2019-03-30,2
646,0,33,1,C11,2020-12-10,3
647,1,33,2,C10,2019-01-08,1
648,1,27,0,C3,2020-07-24,1
649,0,32,1,C14,2019-01-06,1
650,1,33,1,C16,2020-11-14,2
651,1,34,1,C12,2019-05-12,3
652,0,33,1,C20,2018-05-11,4
653,1,44,0,C1,2018-12-09,2
654,0,22,0,C4,2020-10-10,2
655,0,35,0,C13,2019-05-01,2
658,1,29,1,C6,2020-04-13,3
659,1,32,2,C13,2020-05-06,3
660,1,24,0,C7,2020-01-25,1
662,0,35,1,C29,2016-10-17,1
663,0,27,1,C21,2020-04-07,3
664,0,33,2,C19,2020-11-12,1
667,0,31,2,C8,2018-09-09,2
668,1,29,1,C3,2019-11-28,2
671,0,32,2,C11,2019-01-11,3
672,0,30,2,C18,2020-08-29,2
673,1,35,1,C12,2020-10-07,2
674,1,33,1,C14,2019-09-14,1
677,1,48,1,C29,2015-05-21,2
678,0,35,2,C14,2020-08-23,1
680,1,36,2,C3,2014-07-28,2
681,0,29,0,C23,2020-08-29,2
682,0,28,1,C14,2019-07-19,1
683,1,41,2,C17,2018-06-10,1
684,1,23,0,C20,2020-06-30,1
686,1,28,2,C1,2019-02-11,2
687,0,32,0,C18,2019-04-10,1
688,1,45,1,C14,2018-06-16,1
689,1,28,1,C10,2018-10-14,1
690,1,45,0,C14,2018-10-12,2
691,1,30,0,C7,2020-06-28,2
692,0,32,1,C23,2017-12-18,1
693,0,45,2,C14,2015-07-26,2
694,1,31,2,C16,2019-07-29,3
695,0,26,2,C17,2020-03-08,1
696,1,26,0,C10,2020-03-16,3
697,0,41,1,C25,2019-07-14,4
698,0,32,2,C1,2020-01-05,3
700,1,29,1,C10,2017-12-26,1
701,1,42,2,C3,2019-12-01,2
702,1,37,0,C20,2019-06-30,3
703,0,28,2,C11,2016-04-25,1
704,0,27,1,C8,2018-05-25,1
705,0,40,2,C20,2019-03-10,3
706,0,35,0,C27,2020-06-07,3
707,1,31,2,C4,2018-05-21,1
708,1,38,0,C19,2019-11-21,3
709,0,31,1,C13,2018-04-08,5
710,0,32,2,C18,2020-06-02,3
711,0,29,0,C18,2020-12-28,1
712,0,34,1,C5,2020-08-21,3
713,0,27,0,C12,2018-01-30,1
714,0,34,2,C13,2019-08-11,3
715,0,41,1,C4,2020-12-19,2
716,0,42,1,C1,2017-10-11,1
718,0,26,2,C15,2016-04-26,1
721,0,34,2,C19,2020-05-29,3
722,0,37,1,C9,2018-11-13,2
723,0,31,1,C17,2018-07-27,1
724,1,31,2,C1,2020-09-13,2
725,0,29,0,C20,2020-07-08,1
726,1,29,1,C18,2017-09-01,1
727,0,38,2,C22,2019-05-21,2
729,0,33,0,C28,2020-04-09,2
731,1,35,0,C2,2018-09-22,1
733,1,23,0,C6,2020-12-14,1
734,1,34,2,C22,2019-10-24,3
735,1,38,1,C12,2019-08-08,4
736,1,26,2,C15,2018-03-10,1
737,0,40,0,C19,2020-09-08,3
738,0,26,1,C8,2020-05-05,2
739,1,30,0,C20,2017-06-19,1
740,0,37,1,C3,2020-12-06,1
742,0,33,1,C13,2020-06-09,3
743,0,36,0,C10,2020-03-01,2
744,0,26,2,C20,2018-01-21,1
745,0,30,2,C11,2019-10-24,2
747,1,32,1,C17,2016-11-25,1
748,1,31,0,C20,2020-11-28,3
751,0,27,0,C22,2020-11-15,3
752,0,43,2,C23,2020-03-05,2
753,0,33,1,C16,2017-10-16,2
754,0,29,0,C29,2020-10-18,2
755,0,36,1,C8,2019-12-30,3
756,1,29,1,C4,2019-05-26,3
757,0,34,0,C27,2017-11-07,1
758,0,33,1,C15,2019-08-31,2
759,0,41,1,C26,2019-08-12,3
761,0,23,2,C10,2020-12-06,2
762,0,33,2,C27,2016-04-26,1
763,0,32,2,C5,2020-11-21,1
764,1,37,1,C26,2018-11-30,1
765,1,45,1,C8,2016-11-28,1
766,1,30,1,C8,2019-07-29,1
767,1,39,0,C2,2017-05-23,1
768,1,23,1,C26,2020-04-25,1
769,0,36,1,C11,2020-01-11,3
770,0,25,0,C26,2019-05-07,2
771,0,36,1,C5,2020-11-07,2
772,0,29,2,C29,2019-08-07,3
773,0,29,0,C29,2019-10-28,2
776,1,37,1,C8,2020-09-06,2
777,1,29,2,C22,2019-11-28,2
778,0,30,1,C9,2019-06-13,2
779,1,35,2,C23,2020-05-04,1
781,1,40,2,C23,2019-12-21,3
782,1,36,1,C29,2020-06-14,2
783,0,48,2,C3,2015-10-12,1
784,0,41,2,C17,2020-06-04,3
785,0,31,1,C26,2020-07-17,2
787,0,33,1,C26,2019-08-30,3
789,1,38,0,C22,2018-11-27,2
790,0,30,1,C12,2018-11-11,2
791,1,35,0,C4,2015-10-15,2
792,1,31,2,C19,2019-10-12,2
793,1,26,2,C7,2020-10-30,3
794,0,33,2,C21,2015-05-28,2
796,0,32,2,C26,2015-08-11,2
797,0,33,2,C24,2018-10-08,1
798,0,37,0,C27,2018-08-29,2
799,1,33,1,C21,2019-06-12,2
800,0,35,0,C6,2019-06-30,2
801,0,38,1,C29,2020-08-21,3
802,0,29,2,C20,2020-12-12,3
803,0,27,2,C11,2020-04-14,1
804,0,29,2,C23,2019-11-11,2
805,0,24,1,C16,2019-01-13,1
806,1,39,0,C8,2020-02-06,3
807,1,32,1,C25,2020-11-10,3
808,0,32,1,C15,2020-05-15,3
810,0,25,1,C17,2020-04-12,2
811,0,29,2,C26,2019-10-31,2
812,0,31,2,C15,2018-05-10,1
813,1,32,0,C27,2020-02-03,2
814,0,29,2,C16,2020-11-16,1
816,0,41,2,C8,2020-12-12,2
