reporting_date,driver_id,age,gender,city,education_level,income,joining_date,last_working_date,joining_designation,grade,total_business_value,quarterly_rating,is_churned,tenure_months,prev_income,prev_bv,prev_rating,income_change_pct,bv_change_pct,rating_change,health_score,health_category
2019-02-01,5,29,0,C9,0,46368,2019-09-01,,1,1,120360,1,0,-6,46368.0,0.0,1.0,0.0,0.0,0.0,32.5,At Risk
2019-03-01,5,29,0,C9,0,46368,2019-09-01,2019-07-03,1,1,0,1,1,-5,46368.0,120360.0,1.0,0.0,-100.0,0.0,20.0,At Risk
2020-08-01,6,31,1,C11,1,78728,2020-07-31,,3,3,0,1,0,2,,,,0.0,0.0,0.0,33.75,At Risk
2020-09-01,6,31,1,C11,1,78728,2020-07-31,,3,3,0,1,0,3,78728.0,0.0,1.0,0.0,0.0,0.0,34.38,At Risk
2020-10-01,6,31,1,C11,1,78728,2020-07-31,,3,3,0,2,0,4,78728.0,0.0,1.0,0.0,0.0,1.0,45.42,Watch List
2020-11-01,6,31,1,C11,1,78728,2020-07-31,,3,3,1265000,2,0,5,78728.0,0.0,2.0,0.0,0.0,0.0,42.29,Watch List
2020-12-01,6,31,1,C11,1,78728,2020-07-31,,3,3,0,2,0,6,78728.0,1265000.0,2.0,0.0,-100.0,0.0,30.42,At Risk
2020-09-01,8,34,0,C2,0,70656,2020-09-19,,3,3,0,1,0,1,,,,0.0,0.0,0.0,33.12,At Risk
2020-10-01,8,34,0,C2,0,70656,2020-09-19,,3,3,0,1,0,2,70656.0,0.0,1.0,0.0,0.0,0.0,33.75,At Risk
2020-11-01,8,34,0,C2,0,70656,2020-09-19,2020-11-15,3,3,0,1,1,3,70656.0,0.0,1.0,0.0,0.0,0.0,34.38,At Risk
2020-12-01,11,28,1,C19,2,42172,2020-07-12,,1,1,0,1,0,6,,,,0.0,0.0,0.0,36.25,Watch List
2019-07-01,12,35,0,C23,2,28116,2019-06-29,,1,1,500000,4,0,2,,,,0.0,0.0,0.0,53.75,Stable
2019-08-01,12,35,0,C23,2,28116,2019-06-29,,1,1,1707180,4,0,3,28116.0,500000.0,4.0,0.0,241.43599999999998,0.0,66.88,Stable
2019-09-01,12,35,0,C23,2,28116,2019-06-29,,1,1,400000,4,0,4,28116.0,1707180.0,4.0,0.0,-76.56954744080882,0.0,42.5,Watch List
2019-10-01,12,35,0,C23,2,28116,2019-06-29,,1,1,0,1,0,5,28116.0,400000.0,4.0,0.0,-100.0,-3.0,15.62,At Risk
2019-11-01,12,35,0,C23,2,28116,2019-06-29,,1,1,0,1,0,6,28116.0,0.0,1.0,0.0,0.0,0.0,36.25,Watch List
2019-12-01,12,35,0,C23,2,28116,2019-06-29,2019-12-21,1,1,0,1,1,7,28116.0,0.0,1.0,0.0,0.0,0.0,36.88,Watch List
2019-01-01,13,29,0,C19,2,119227,2015-05-28,,1,4,250000,1,0,45,,,,0.0,0.0,0.0,47.5,Watch List
2019-02-01,13,29,0,C19,2,119227,2015-05-28,,1,4,1719680,1,0,46,119227.0,250000.0,1.0,0.0,587.8720000000001,0.0,60.0,Stable
2019-03-01,13,29,0,C19,2,119227,2015-05-28,,1,4,545240,1,0,47,119227.0,1719680.0,1.0,0.0,-68.29410122813546,0.0,35.0,Watch List
2019-04-01,13,29,0,C19,2,119227,2015-05-28,,1,4,250000,2,0,48,119227.0,545240.0,1.0,0.0,-54.14863179517276,1.0,45.42,Watch List
2019-05-01,13,29,0,C19,2,119227,2015-05-28,,1,4,895510,2,0,49,119227.0,250000.0,2.0,0.0,258.204,0.0,66.67,Stable
2019-06-01,13,29,0,C19,2,119227,2015-05-28,,1,4,0,2,0,50,119227.0,895510.0,2.0,0.0,-100.0,0.0,41.67,Watch List
2019-07-01,13,29,0,C19,2,119227,2015-05-28,,1,4,350650,2,0,51,119227.0,0.0,2.0,0.0,0.0,0.0,54.17,Stable
2019-08-01,13,29,0,C19,2,119227,2015-05-28,,1,4,708360,2,0,52,119227.0,350650.0,2.0,0.0,102.01340367888207,0.0,66.67,Stable
2019-09-01,13,29,0,C19,2,119227,2015-05-28,,1,4,1190290,2,0,53,119227.0,708360.0,2.0,0.0,68.034615167429,0.0,66.67,Stable
2019-10-01,13,29,0,C19,2,119227,2015-05-28,,1,4,0,1,0,54,119227.0,1190290.0,2.0,0.0,-100.0,-1.0,31.25,At Risk
2019-11-01,13,30,0,C19,2,119227,2015-05-28,,1,4,200000,1,0,55,119227.0,0.0,1.0,0.0,0.0,0.0,47.5,Watch List
2019-12-01,13,30,0,C19,2,119227,2015-05-28,,1,4,300000,1,0,56,119227.0,200000.0,1.0,0.0,50.0,0.0,60.0,Stable
2020-01-01,13,30,0,C19,2,119227,2015-05-28,,1,4,151110,1,0,57,119227.0,300000.0,1.0,0.0,-49.63,0.0,35.09,Watch List
2020-02-01,13,30,0,C19,2,119227,2015-05-28,,1,4,200000,1,0,58,119227.0,151110.0,1.0,0.0,32.3539143670174,0.0,55.59,Stable
2020-03-01,13,30,0,C19,2,119227,2015-05-28,,1,4,1593590,1,0,59,119227.0,200000.0,1.0,0.0,696.795,0.0,60.0,Stable
2020-04-01,13,30,0,C19,2,119227,2015-05-28,,1,4,0,1,0,60,119227.0,1593590.0,1.0,0.0,-100.0,0.0,35.0,Watch List
2020-05-01,13,30,0,C19,2,119227,2015-05-28,,1,4,400000,1,0,61,119227.0,0.0,1.0,0.0,0.0,0.0,47.5,Watch List
2020-06-01,13,30,0,C19,2,119227,2015-05-28,,1,4,258610,1,0,62,119227.0,400000.0,1.0,0.0,-35.3475,0.0,38.66,Watch List
2020-07-01,13,30,0,C19,2,119227,2015-05-28,,1,4,150000,1,0,63,119227.0,258610.0,1.0,0.0,-41.9976025675728,0.0,37.0,Watch List
2020-08-01,13,30,0,C19,2,119227,2015-05-28,,1,4,500000,1,0,64,119227.0,150000.0,1.0,0.0,233.33333333333334,0.0,60.0,Stable
2020-09-01,13,30,0,C19,2,119227,2015-05-28,,1,4,200000,1,0,65,119227.0,500000.0,1.0,0.0,-60.0,0.0,35.0,Watch List
2020-10-01,13,30,0,C19,2,119227,2015-05-28,,1,4,350000,1,0,66,119227.0,200000.0,1.0,0.0,75.0,0.0,60.0,Stable
2020-11-01,13,31,0,C19,2,119227,2015-05-28,2020-11-25,1,4,0,1,1,67,119227.0,350000.0,1.0,0.0,-100.0,0.0,35.0,Watch List
2020-10-01,14,39,1,C26,0,19734,2020-10-16,,3,3,0,1,0,1,,,,0.0,0.0,0.0,33.12,At Risk
2020-11-01,14,39,1,C26,0,19734,2020-10-16,,3,3,0,1,0,2,19734.0,0.0,1.0,0.0,0.0,0.0,33.75,At Risk
2020-12-01,14,39,1,C26,0,19734,2020-10-16,,3,3,0,1,0,3,19734.0,0.0,1.0,0.0,0.0,0.0,34.38,At Risk
2019-01-01,16,30,1,C23,0,52963,2018-11-30,,2,2,346800,1,0,3,,,,0.0,0.0,0.0,34.38,At Risk
2019-02-01,16,30,1,C23,0,52963,2018-11-30,2019-02-22,2,2,0,1,1,4,52963.0,346800.0,1.0,0.0,-100.0,0.0,22.5,At Risk
2019-01-01,17,42,0,C20,2,51099,2018-06-03,,1,1,100000,2,0,8,,,,0.0,0.0,0.0,44.17,Watch List
2019-02-01,17,42,0,C20,2,51099,2018-06-03,,1,1,0,2,0,9,51099.0,100000.0,2.0,0.0,-100.0,0.0,32.29,At Risk
2019-03-01,17,42,0,C20,2,51099,2018-06-03,,1,1,674990,2,0,10,51099.0,0.0,2.0,0.0,0.0,0.0,45.42,Watch List
2019-04-01,17,42,0,C20,2,51099,2018-06-03,,1,1,242650,1,0,11,51099.0,674990.0,2.0,0.0,-64.05131927880413,-1.0,23.12,At Risk
2019-05-01,17,42,0,C20,2,51099,2018-06-03,,1,1,0,1,0,12,51099.0,242650.0,1.0,0.0,-100.0,0.0,27.5,At Risk
2019-06-01,17,42,0,C20,2,51099,2018-06-03,,1,1,0,1,0,13,51099.0,0.0,1.0,0.0,0.0,0.0,40.62,Watch List
2019-07-01,17,43,0,C20,2,51099,2018-06-03,2019-07-20,1,1,0,1,1,14,51099.0,0.0,1.0,0.0,0.0,0.0,41.25,Watch List
2019-01-01,18,27,1,C17,1,31631,2019-09-01,,1,1,0,1,0,-7,,,,0.0,0.0,0.0,32.5,At Risk
2019-02-01,18,27,1,C17,1,31631,2019-09-01,,1,1,0,1,0,-6,31631.0,0.0,1.0,0.0,0.0,0.0,32.5,At Risk
2019-03-01,18,27,1,C17,1,31631,2019-09-01,,1,1,0,1,0,-5,31631.0,0.0,1.0,0.0,0.0,0.0,32.5,At Risk
2019-04-01,18,27,1,C17,1,31631,2019-09-01,,1,1,0,1,0,-4,31631.0,0.0,1.0,0.0,0.0,0.0,32.5,At Risk
2019-05-01,18,27,1,C17,1,31631,2019-09-01,2019-04-30,1,1,0,1,1,-3,31631.0,0.0,1.0,0.0,0.0,0.0,32.5,At Risk
2019-10-01,20,26,1,C19,0,40342,2019-10-25,,3,3,0,1,0,1,,,,0.0,0.0,0.0,33.12,At Risk
2019-11-01,20,26,1,C19,0,40342,2019-10-25,,3,3,0,1,0,2,40342.0,0.0,1.0,0.0,0.0,0.0,33.75,At Risk
2019-12-01,20,26,1,C19,0,40342,2019-10-25,,3,3,0,1,0,3,40342.0,0.0,1.0,0.0,0.0,0.0,34.38,At Risk
2020-01-01,20,26,1,C19,0,40342,2019-10-25,,3,3,0,1,0,4,40342.0,0.0,1.0,0.0,0.0,0.0,35.0,Watch List
2020-02-01,20,26,1,C19,0,40342,2019-10-25,,3,3,0,1,0,5,40342.0,0.0,1.0,0.0,0.0,0.0,35.62,Watch List
2020-03-01,20,26,1,C19,0,40342,2019-10-25,2020-01-03,3,3,0,1,1,6,40342.0,0.0,1.0,0.0,0.0,0.0,36.25,Watch List
2019-01-01,21,33,1,C29,1,22755,2018-12-05,,1,1,948560,4,0,2,,,,0.0,0.0,0.0,53.75,Stable
2019-02-01,21,33,1,C29,1,22755,2018-12-05,,1,1,551740,4,0,3,22755.0,948560.0,4.0,0.0,-41.83393775828625,0.0,43.92,Watch List
2019-03-01,21,33,1,C29,1,22755,2018-12-05,,1,1,3295370,4,0,4,22755.0,551740.0,4.0,0.0,497.26864102657044,0.0,67.5,Stable
2019-04-01,21,33,1,C29,1,22755,2018-12-05,,1,1,0,2,0,5,22755.0,3295370.0,4.0,0.0,-100.0,-2.0,22.29,At Risk
2019-05-01,21,33,1,C29,1,22755,2018-12-05,,1,1,116350,2,0,6,22755.0,0.0,2.0,0.0,0.0,0.0,42.92,Watch List
2019-06-01,21,33,1,C29,1,22755,2018-12-05,,1,1,533260,2,0,7,22755.0,116350.0,2.0,0.0,358.32402234636874,0.0,56.04,Stable
2019-07-01,21,33,1,C29,1,22755,2018-12-05,,1,1,150450,2,0,8,22755.0,533260.0,2.0,0.0,-71.78674567753066,0.0,31.67,At Risk
2019-08-01,21,33,1,C29,1,22755,2018-12-05,,1,1,0,2,0,9,22755.0,150450.0,2.0,0.0,-100.0,0.0,32.29,At Risk
2019-09-01,21,33,1,C29,1,22755,2018-12-05,,1,1,520980,2,0,10,22755.0,0.0,2.0,0.0,0.0,0.0,45.42,Watch List
2019-10-01,21,33,1,C29,1,22755,2018-12-05,,1,1,150600,2,0,11,22755.0,520980.0,2.0,0.0,-71.0929402280318,0.0,33.54,At Risk
2019-11-01,21,34,1,C29,1,22755,2018-12-05,,1,1,0,2,0,12,22755.0,150600.0,2.0,0.0,-100.0,0.0,34.17,At Risk
2019-12-01,21,34,1,C29,1,22755,2018-12-05,,1,1,263690,2,0,13,22755.0,0.0,2.0,0.0,0.0,0.0,47.29,Watch List
2020-01-01,21,34,1,C29,1,22755,2018-12-05,,1,1,150170,1,0,14,22755.0,263690.0,2.0,0.0,-43.05055178429216,-1.0,26.74,At Risk
2020-02-01,21,34,1,C29,1,22755,2018-12-05,2020-02-17,1,1,281380,1,1,15,22755.0,150170.0,1.0,0.0,87.37430911633483,0.0,54.37,Stable
2019-01-01,22,40,0,C10,2,31224,2018-05-25,,1,1,216170,2,0,9,,,,0.0,0.0,0.0,44.79,Watch List
2019-02-01,22,40,0,C10,2,31224,2018-05-25,,1,1,404600,2,0,10,31224.0,216170.0,2.0,0.0,87.16750705463294,0.0,57.92,Stable
2019-03-01,22,40,0,C10,2,31224,2018-05-25,,1,1,819960,2,0,11,31224.0,404600.0,2.0,0.0,102.6594167078596,0.0,58.54,Stable
2019-04-01,22,40,0,C10,2,31224,2018-05-25,,1,1,601680,4,0,12,31224.0,819960.0,2.0,0.0,-26.620810771257137,2.0,60.84,Stable
2019-05-01,22,40,0,C10,2,31224,2018-05-25,,1,1,635700,4,0,13,31224.0,601680.0,4.0,0.0,5.654168328679697,0.0,62.04,Stable
2019-06-01,22,40,0,C10,2,31224,2018-05-25,,1,1,121590,4,0,14,31224.0,635700.0,4.0,0.0,-80.87305332704105,0.0,48.75,Watch List
2019-07-01,22,40,0,C10,2,31224,2018-05-25,,1,1,653680,4,0,15,31224.0,121590.0,4.0,0.0,437.61000082243606,0.0,74.37,Healthy
2019-08-01,22,40,0,C10,2,31224,2018-05-25,,1,1,1120560,4,0,16,31224.0,653680.0,4.0,0.0,71.42332639823768,0.0,75.0,Healthy
2019-09-01,22,40,0,C10,2,31224,2018-05-25,,1,1,696920,4,0,17,31224.0,1120560.0,4.0,0.0,-37.80609695152424,0.0,53.67,Stable
2019-10-01,22,40,0,C10,2,31224,2018-05-25,,1,1,200000,3,0,18,31224.0,696920.0,4.0,0.0,-71.30230155541526,-1.0,40.83,Watch List
2019-11-01,22,41,0,C10,2,31224,2018-05-25,,1,1,306410,3,0,19,31224.0,200000.0,3.0,0.0,53.205000000000005,0.0,70.21,Healthy
2019-12-01,22,41,0,C10,2,31224,2018-05-25,,1,1,499480,3,0,20,31224.0,306410.0,3.0,0.0,63.01034561535198,0.0,70.83,Healthy
2020-01-01,22,41,0,C10,2,31224,2018-05-25,,1,1,500510,2,0,21,31224.0,499480.0,3.0,0.0,0.2062144630415632,-1.0,48.59,Watch List
2020-02-01,22,41,0,C10,2,31224,2018-05-25,,1,1,658430,2,0,22,31224.0,500510.0,2.0,0.0,31.551817146510558,0.0,60.8,Stable
2020-03-01,22,41,0,C10,2,31224,2018-05-25,,1,1,103800,2,0,23,31224.0,658430.0,2.0,0.0,-84.23522621994745,0.0,41.04,Watch List
2020-04-01,22,41,0,C10,2,31224,2018-05-25,2020-04-26,1,1,0,1,1,24,31224.0,103800.0,2.0,0.0,-100.0,-1.0,31.25,At Risk
2019-01-01,24,30,0,C24,2,76308,2018-05-25,,1,2,106460,2,0,9,,,,0.0,0.0,0.0,44.79,Watch List
2019-02-01,24,31,0,C24,2,76308,2018-05-25,,1,2,401310,2,0,10,76308.0,106460.0,2.0,0.0,276.9584820589893,0.0,57.92,Stable
2019-03-01,24,31,0,C24,2,76308,2018-05-25,,1,2,1103240,2,0,11,76308.0,401310.0,2.0,0.0,174.90967082803817,0.0,58.54,Stable
2019-04-01,24,31,0,C24,2,76308,2018-05-25,,1,2,312720,2,0,12,76308.0,1103240.0,2.0,0.0,-71.6543997679562,0.0,34.17,At Risk
2019-05-01,24,31,0,C24,2,76308,2018-05-25,,1,2,128730,2,0,13,76308.0,312720.0,2.0,0.0,-58.835379892555636,0.0,34.79,At Risk
2019-06-01,24,31,0,C24,2,76308,2018-05-25,,1,2,97220,2,0,14,76308.0,128730.0,2.0,0.0,-24.477588751650742,0.0,41.8,Watch List
2019-07-01,24,31,0,C24,2,76308,2018-05-25,,1,2,203240,3,0,15,76308.0,97220.0,2.0,0.0,109.05163546595351,1.0,71.46,Healthy
2019-08-01,24,31,0,C24,2,76308,2018-05-25,,1,2,639720,3,0,16,76308.0,203240.0,3.0,0.0,214.76087384373156,0.0,68.33,Stable
2019-09-01,24,31,0,C24,2,76308,2018-05-25,,1,2,765920,3,0,17,76308.0,639720.0,3.0,0.0,19.72738072906897,0.0,61.39,Stable
2019-10-01,24,31,0,C24,2,76308,2018-05-25,2019-10-27,1,2,343160,2,1,18,76308.0,765920.0,3.0,0.0,-55.196365155629834,-1.0,34.17,At Risk
2019-01-01,25,29,0,C24,1,102077,2017-10-30,,1,3,2552300,3,0,16,,,,0.0,0.0,0.0,55.83,Stable
2019-02-01,25,29,0,C24,1,102077,2017-10-30,,1,3,2143680,3,0,17,102077.0,2552300.0,3.0,0.0,-16.009873447478746,0.0,52.46,Stable
2019-03-01,25,29,0,C24,1,102077,2017-10-30,,1,3,2925260,3,0,18,102077.0,2143680.0,3.0,0.0,36.45973279593969,0.0,66.2,Stable
2019-04-01,25,29,0,C24,1,102077,2017-10-30,,1,3,1030790,4,0,19,102077.0,2925260.0,3.0,0.0,-64.76244846611925,1.0,55.62,Stable
2019-05-01,25,29,0,C24,1,102077,2017-10-30,,1,3,1833580,4,0,20,102077.0,1030790.0,4.0,0.0,77.88104269540838,0.0,77.5,Healthy
2019-06-01,25,29,0,C24,1,102077,2017-10-30,,1,3,999610,4,0,21,102077.0,1833580.0,4.0,0.0,-45.48315317575454,0.0,54.25,Stable
2019-07-01,25,29,0,C24,1,102077,2017-10-30,,1,3,1046670,4,0,22,102077.0,999610.0,4.0,0.0,4.707836056061864,0.0,67.43,Stable
2019-08-01,25,29,0,C24,1,102077,2017-10-30,,1,3,677050,4,0,23,102077.0,1046670.0,4.0,0.0,-35.31390027420295,0.0,58.05,Stable
2019-09-01,25,29,0,C24,1,102077,2017-10-30,,1,3,1934570,4,0,24,102077.0,677050.0,4.0,0.0,185.73517465475226,0.0,80.0,Healthy
2019-10-01,25,29,0,C24,1,102077,2017-10-30,,1,3,1297810,4,0,25,102077.0,1934570.0,4.0,0.0,-32.91480794181653,0.0,59.27,Stable
2019-11-01,25,30,0,C24,1,102077,2017-10-30,,1,3,1474610,4,0,26,102077.0,1297810.0,4.0,0.0,13.622949430193943,0.0,70.91,Healthy
2019-12-01,25,30,0,C24,1,102077,2017-10-30,,1,3,574040,4,0,27,102077.0,1474610.0,4.0,0.0,-61.07174100270581,0.0,55.0,Stable
2020-01-01,25,30,0,C24,1,102077,2017-10-30,,1,3,2109420,4,0,28,102077.0,574040.0,4.0,0.0,267.46916591178314,0.0,80.0,Healthy
2020-02-01,25,30,0,C24,1,102077,2017-10-30,,1,3,2973000,4,0,29,102077.0,2109420.0,4.0,0.0,40.939215518957816,0.0,77.73,Healthy
2020-03-01,25,30,0,C24,1,102077,2017-10-30,,1,3,3053510,4,0,30,102077.0,2973000.0,4.0,0.0,2.7080390178271108,0.0,68.18,Stable
2020-04-01,25,30,0,C24,1,102077,2017-10-30,,1,3,-414250,3,0,31,102077.0,3053510.0,4.0,0.0,-113.56635478514889,-1.0,44.58,Watch List
2020-05-01,25,30,0,C24,1,102077,2017-10-30,,1,3,350000,3,0,32,102077.0,-414250.0,3.0,0.0,0.0,0.0,60.83,Stable
2020-06-01,25,30,0,C24,1,102077,2017-10-30,,1,3,1219340,3,0,33,102077.0,350000.0,3.0,0.0,248.38285714285715,0.0,73.33,Healthy
2020-07-01,25,30,0,C24,1,102077,2017-10-30,,1,3,650000,4,0,34,102077.0,1219340.0,3.0,0.0,-46.69247297718438,1.0,59.58,Stable
2020-08-01,25,30,0,C24,1,102077,2017-10-30,,1,3,1512060,4,0,35,102077.0,650000.0,4.0,0.0,132.6246153846154,0.0,80.0,Healthy
2020-09-01,25,30,0,C24,1,102077,2017-10-30,,1,3,1368060,4,0,36,102077.0,1512060.0,4.0,0.0,-9.523431609856752,0.0,65.12,Stable
2020-10-01,25,30,0,C24,1,102077,2017-10-30,,1,3,1346140,4,0,37,102077.0,1368060.0,4.0,0.0,-1.6022689063345177,0.0,67.1,Stable
2020-11-01,25,31,0,C24,1,102077,2017-10-30,,1,3,1680680,4,0,38,102077.0,1346140.0,4.0,0.0,24.851798475641466,0.0,73.71,Healthy
2020-12-01,25,31,0,C24,1,102077,2017-10-30,,1,3,2013180,4,0,39,102077.0,1680680.0,4.0,0.0,19.783658995168622,0.0,72.45,Healthy
2019-01-01,26,41,0,C14,2,121529,2018-07-05,,1,3,243110,4,0,7,,,,0.0,0.0,0.0,56.88,Stable
2019-02-01,26,41,0,C14,2,121529,2018-07-05,,1,3,646330,4,0,8,121529.0,243110.0,4.0,0.0,165.85907613837358,0.0,70.0,Healthy
2019-03-01,26,41,0,C14,2,121529,2018-07-05,,1,3,17651940,4,0,9,121529.0,646330.0,4.0,0.0,2631.1033063605278,0.0,70.62,Healthy
2019-04-01,26,41,0,C14,2,121529,2018-07-05,,1,3,242510,4,0,10,121529.0,17651940.0,4.0,0.0,-98.62615667173127,0.0,46.25,Watch List
2019-05-01,26,41,0,C14,2,121529,2018-07-05,,1,3,1098080,4,0,11,121529.0,242510.0,4.0,0.0,352.797822770195,0.0,71.87,Healthy
2019-06-01,26,41,0,C14,2,121529,2018-07-05,,1,3,1212720,4,0,12,121529.0,1098080.0,4.0,0.0,10.440040798484628,0.0,62.61,Stable
2019-07-01,26,41,0,C14,2,121529,2018-07-05,,1,3,2695910,4,0,13,121529.0,1212720.0,4.0,0.0,122.3027574378257,0.0,73.12,Healthy
2019-08-01,26,41,0,C14,2,121529,2018-07-05,,1,3,494710,4,0,14,121529.0,2695910.0,4.0,0.0,-81.64960996472435,0.0,48.75,Watch List
2019-09-01,26,42,0,C14,2,121529,2018-07-05,,1,3,986540,4,0,15,121529.0,494710.0,4.0,0.0,99.41784075518991,0.0,74.37,Healthy
2019-10-01,26,42,0,C14,2,121529,2018-07-05,,1,3,9950710,4,0,16,121529.0,986540.0,4.0,0.0,908.6473939221927,0.0,75.0,Healthy
2019-11-01,26,42,0,C14,2,121529,2018-07-05,,1,3,13097320,4,0,17,121529.0,9950710.0,4.0,0.0,31.621964663828006,0.0,71.03,Healthy
2019-12-01,26,42,0,C14,2,121529,2018-07-05,,1,3,1086370,4,0,18,121529.0,13097320.0,4.0,0.0,-91.70540232658284,0.0,51.25,Stable
2020-01-01,26,42,0,C14,2,121529,2018-07-05,,1,3,732410,2,0,19,121529.0,1086370.0,4.0,0.0,-32.58190119388422,-2.0,35.4,Watch List
2020-02-01,26,42,0,C14,2,121529,2018-07-05,,1,3,1511840,2,0,20,121529.0,732410.0,2.0,0.0,106.41990142133504,0.0,64.17,Stable
2020-03-01,26,42,0,C14,2,132577,2018-07-05,,1,4,9226690,4,0,21,121529.0,1511840.0,2.0,9.090834286466604,510.2954016298021,2.0,87.9,Healthy
2020-04-01,26,42,0,C14,2,132577,2018-07-05,,1,4,1940050,2,0,22,132577.0,9226690.0,4.0,0.0,-78.97349970574497,-2.0,32.92,At Risk
2020-05-01,26,42,0,C14,2,132577,2018-07-05,,1,4,970030,2,0,23,132577.0,1940050.0,2.0,0.0,-49.99974227468364,0.0,41.04,Watch List
2020-06-01,26,42,0,C14,2,132577,2018-07-05,,1,4,0,2,0,24,132577.0,970030.0,2.0,0.0,-100.0,0.0,41.67,Watch List
2020-07-01,26,42,0,C14,2,132577,2018-07-05,,1,4,153590,2,0,25,132577.0,0.0,2.0,0.0,0.0,0.0,54.17,Stable
2020-08-01,26,42,0,C14,2,132577,2018-07-05,,1,4,1710410,2,0,26,132577.0,153590.0,2.0,0.0,1013.6206784295853,0.0,66.67,Stable
2020-09-01,26,43,0,C14,2,132577,2018-07-05,,1,4,440550,2,0,27,132577.0,1710410.0,2.0,0.0,-74.24301775597664,0.0,41.67,Watch List
2020-10-01,26,43,0,C14,2,132577,2018-07-05,,1,4,744590,2,0,28,132577.0,440550.0,2.0,0.0,69.01373283395755,0.0,66.67,Stable
2020-11-01,26,43,0,C14,2,132577,2018-07-05,,1,4,1578270,2,0,29,132577.0,744590.0,2.0,0.0,111.96497401254382,0.0,66.67,Stable
2020-12-01,26,43,0,C14,2,132577,2018-07-05,,1,4,1453220,2,0,30,132577.0,1578270.0,2.0,0.0,-7.923232400032948,0.0,52.19,Stable
2019-01-01,29,30,0,C13,2,30312,2018-05-20,,1,1,231840,2,0,9,,,,0.0,0.0,0.0,44.79,Watch List
2019-02-01,29,30,0,C13,2,30312,2018-05-20,,1,1,278930,2,0,10,30312.0,231840.0,2.0,0.0,20.311421670117323,0.0,50.49,Stable
2019-03-01,29,30,0,C13,2,30312,2018-05-20,,1,1,650990,2,0,11,30312.0,278930.0,2.0,0.0,133.38830530957588,0.0,58.54,Stable
2019-04-01,29,30,0,C13,2,30312,2018-05-20,,1,1,111410,1,0,12,30312.0,650990.0,2.0,0.0,-82.88606583818492,-1.0,23.75,At Risk
2019-05-01,29,30,0,C13,2,30312,2018-05-20,2019-05-23,1,1,0,1,1,13,30312.0,111410.0,1.0,0.0,-100.0,0.0,28.12,At Risk
2019-10-01,30,31,0,C6,1,69457,2019-03-10,,3,3,0,1,0,8,,,,0.0,0.0,0.0,37.5,Watch List
2019-11-01,30,31,0,C6,1,69457,2019-03-10,,3,3,0,1,0,9,69457.0,0.0,1.0,0.0,0.0,0.0,38.12,Watch List
2019-12-01,30,31,0,C6,1,69457,2019-03-10,2019-11-29,3,3,0,1,1,10,69457.0,0.0,1.0,0.0,0.0,0.0,38.75,Watch List
2020-07-01,31,32,1,C28,2,65189,2020-04-07,,3,3,0,1,0,4,,,,0.0,0.0,0.0,35.0,Watch List
2020-08-01,31,32,1,C28,2,65189,2020-04-07,,3,3,0,1,0,5,65189.0,0.0,1.0,0.0,0.0,0.0,35.62,Watch List
2020-09-01,31,32,1,C28,2,65189,2020-04-07,,3,3,0,1,0,6,65189.0,0.0,1.0,0.0,0.0,0.0,36.25,Watch List
2020-10-01,31,32,1,C28,2,65189,2020-04-07,,3,3,0,2,0,7,65189.0,0.0,1.0,0.0,0.0,1.0,47.29,Watch List
2020-11-01,31,32,1,C28,2,65189,2020-04-07,,3,3,0,2,0,8,65189.0,0.0,2.0,0.0,0.0,0.0,44.17,Watch List
